material,ancho_m,largo_m,completa,tipo_corte,x_plano,y_plano
Moret,0.596,1.194,si,completa,322.737,-127.821
Moret,0.596,1.194,si,completa,322.139,-127.821
Moret,0.596,0.6163,no,corte_largo,322.737,-126.914
Moret,0.596,1.194,si,completa,323.933,-127.821
Moret,0.3539,0.4336,no,corte_esquina,323.851,-128.597
Moret,0.596,1.194,si,completa,323.335,-127.821
Moret,0.5275,0.8692,no,corte_esquina,323.3,-129.432
Moret,0.596,1.0848,no,corte_largo,323.335,-130.412
Moret,0.5563,1.0848,no,corte_esquina,322.756,-130.412
Moret,0.4935,1.0848,no,corte_esquina,323.881,-130.412
Moret,0.596,0.7197,no,corte_largo,323.933,-122.255
Moret,0.596,1.014,no,corte_largo,323.933,-121.386
Moret,0.2772,0.8996,no,corte_esquina,323.798,-120.787
Moret,0.596,1.15,no,corte_largo,326.809,-126.029
Moret,0.502,1.15,no,corte_esquina,326.258,-126.029
Moret,0.27,1.15,no,corte_esquina,328.592,-126.029
Moret,0.27,1.15,no,corte_esquina,328.862,-126.029
Moret,0.27,1.15,no,corte_esquina,328.862,-127.179
Moret,0.596,1.15,no,corte_largo,326.809,-127.179
Moret,0.502,1.15,no,corte_esquina,326.258,-127.179
Moret,0.27,1.15,no,corte_esquina,328.322,-126.029
Moret,0.27,1.15,no,corte_esquina,328.052,-126.029
Moret,0.27,1.15,no,corte_esquina,327.782,-126.029
Moret,0.27,1.15,no,corte_esquina,327.512,-126.029
Moret,0.27,1.15,no,corte_esquina,327.242,-126.029
Moret,0.27,1.15,no,corte_esquina,328.592,-127.179
Moret,0.27,1.15,no,corte_esquina,328.322,-127.179
Moret,0.27,1.15,no,corte_esquina,328.052,-127.179
Moret,0.27,1.15,no,corte_esquina,327.782,-127.179
Moret,0.27,1.15,no,corte_esquina,327.512,-127.179
Moret,0.27,1.15,no,corte_esquina,327.242,-127.179
Moret,0.2498,1.15,no,corte_esquina,329.122,-127.179
Moret,0.596,1.15,no,corte_largo,329.547,-127.179
Moret,0.2498,1.15,no,corte_esquina,329.972,-127.179
Moret,0.596,1.194,si,completa,329.547,-128.353
Moret,0.2498,1.194,no,corte_ancho,329.122,-128.353
Moret,0.3637,1.194,no,corte_ancho,330.029,-128.353
Moret,0.596,1.194,si,completa,329.547,-129.549
Moret,0.2498,1.194,no,corte_ancho,329.122,-129.549
Moret,0.3637,1.194,no,corte_ancho,330.029,-129.549
Moret,0.596,0.706,no,corte_largo,329.547,-130.501
Moret,0.2498,0.706,no,corte_esquina,329.122,-130.501
Moret,0.2498,0.706,no,corte_esquina,329.972,-130.501
Moret,0.596,1.194,si,completa,329.547,-126.005
Moret,0.2498,1.194,no,corte_ancho,329.122,-126.005
Moret,0.2498,1.194,no,corte_ancho,329.972,-126.005
Moret,0.596,1.194,si,completa,329.547,-124.809
Moret,0.2498,1.194,no,corte_ancho,329.122,-124.809
Moret,0.3637,1.194,no,corte_ancho,330.029,-124.809
Moret,0.596,1.194,si,completa,329.547,-123.613
Moret,0.596,1.194,si,completa,330.145,-123.613
Moret,0.1118,0.6086,no,corte_esquina,330.501,-123.32
Moret,0.2498,1.194,no,corte_ancho,329.122,-123.613
Moret,0.596,1.0842,no,corte_largo,329.547,-122.472
Moret,0.1601,1.0842,no,corte_esquina,329.167,-122.472
Moret,0.596,1.0842,no,corte_largo,330.145,-122.472
Moret,0.1118,1.0842,no,corte_esquina,330.501,-122.472
Moret,0.3404,0.7071,no,corte_esquina,331.937,-128.2
Moret,0.596,0.7438,no,corte_largo,333.171,-127.013
Moret,0.596,0.7438,no,corte_largo,332.573,-127.013
Moret,0.596,1.194,si,completa,331.975,-126.788
Moret,0.596,1.194,si,completa,331.377,-126.788
Moret,0.596,1.194,si,completa,330.779,-126.788
Royal Walnut,0.2019,1.194,si,completa,330.378,-126.788
Moret,0.596,1.104,no,corte_largo,333.171,-127.939
Moret,0.596,1.104,no,corte_largo,332.573,-127.939
Moret,0.596,1.194,si,completa,331.975,-127.984
Moret,0.596,1.194,si,completa,331.377,-127.984
Moret,0.596,1.194,si,completa,330.779,-127.984
Royal Walnut,0.2019,1.104,no,corte_largo,330.378,-127.939
Moret,0.1459,0.7438,no,corte_esquina,333.543,-127.013
Moret,0.1459,1.104,no,corte_esquina,333.543,-127.939
Moret,0.596,0.7478,no,corte_largo,331.377,-125.815
Moret,0.596,0.7478,no,corte_largo,330.779,-125.815
Royal Walnut,0.2019,0.7478,no,corte_largo,330.378,-125.815
Moret,0.35,0.7478,no,corte_esquina,331.852,-125.815
