material,ancho_m,largo_m,completa,tipo_corte,x_plano,y_plano
Royal Walnut,0.2,1.2,si,completa,502.464,-84.31
Royal Walnut,0.2,1.2,si,completa,502.464,-83.109
Moret,0.089,0.9,no,corte_esquina,502.61,-85.51
Moret,0.089,0.9,no,corte_esquina,504.079,-90.36
Royal Walnut,0.2,1.111,no,corte_largo,504.224,-90.466
Moret,0.6,1.12,no,corte_largo,497.063,-87.3
Moret,0.6,1.194,si,completa,497.063,-86.141
Royal Walnut,0.214,1.12,no,corte_esquina,497.472,-87.3
Royal Walnut,0.214,1.194,no,corte_ancho,497.472,-86.141
Moret,0.6,1.194,si,completa,496.461,-84.945
Moret,0.6,1.194,si,completa,495.859,-84.945
Moret,0.6,1.194,si,completa,495.257,-84.945
Moret,0.6,1.194,si,completa,494.655,-84.945
Moret,0.6,1.194,si,completa,494.053,-84.945
Moret,0.6,1.194,si,completa,493.451,-84.945
Moret,0.6,1.194,si,completa,492.849,-84.945
Moret,0.6,1.194,si,completa,492.247,-84.945
Moret,0.6,1.194,si,completa,491.645,-84.945
Moret,0.6,1.194,si,completa,491.043,-84.945
Moret,0.6,1.194,si,completa,490.441,-84.945
Moret,0.6,1.194,si,completa,489.839,-84.945
Moret,0.6,1.194,si,completa,497.063,-84.945
Royal Walnut,0.214,1.194,no,corte_ancho,497.472,-84.945
Moret,0.6,1.146,no,corte_largo,496.461,-83.773
Moret,0.6,1.146,no,corte_largo,495.859,-83.773
Moret,0.6,1.146,no,corte_largo,495.257,-83.773
Moret,0.6,1.146,no,corte_largo,494.655,-83.773
Moret,0.6,1.146,no,corte_largo,494.053,-83.773
Moret,0.6,1.086,no,corte_largo,493.451,-83.803
Moret,0.6,1.146,no,corte_largo,492.849,-83.773
Moret,0.6,1.146,no,corte_largo,492.247,-83.773
Moret,0.6,1.146,no,corte_largo,491.645,-83.773
Moret,0.6,1.146,no,corte_largo,491.043,-83.773
Moret,0.6,1.146,no,corte_largo,490.441,-83.773
Moret,0.6,1.146,no,corte_largo,489.839,-83.773
Moret,0.6,1.086,no,corte_largo,497.063,-83.803
Royal Walnut,0.214,1.086,no,corte_esquina,497.472,-83.803
Moret,0.15,0.471,no,corte_esquina,495.634,-88.17
Moret,0.471,0.6,no,corte_esquina,495.257,-88.17
Moret,0.284,1.194,no,corte_ancho,494.497,-88.531
Moret,0.6,1.194,si,completa,494.053,-88.531
Moret,0.6,1.194,si,completa,493.451,-88.531
Moret,0.6,1.194,si,completa,492.849,-88.531
Moret,0.6,1.194,si,completa,492.247,-88.531
Moret,0.6,1.194,si,completa,491.645,-88.531
Moret,0.6,1.194,si,completa,491.043,-88.531
Moret,0.6,1.194,si,completa,490.441,-88.531
Moret,0.6,1.194,si,completa,489.839,-88.531
Moret,0.284,1.194,no,corte_ancho,494.497,-89.727
Moret,0.6,1.194,si,completa,494.053,-89.727
Moret,0.6,1.194,si,completa,493.451,-89.727
Moret,0.6,1.194,si,completa,492.849,-89.727
Moret,0.6,1.194,si,completa,492.247,-89.727
Moret,0.6,1.194,si,completa,491.645,-89.727
Moret,0.6,1.194,si,completa,491.043,-89.727
Moret,0.6,1.194,si,completa,490.441,-89.727
Moret,0.6,1.194,si,completa,489.839,-89.727
Royal Walnut,0.182,1.12,no,corte_esquina,496.67,-90.9
Moret,0.6,1.12,no,corte_largo,495.859,-90.9
Moret,0.6,1.18,no,corte_largo,495.257,-90.93
Moret,0.6,1.194,si,completa,494.655,-90.923
Moret,0.6,1.194,si,completa,494.053,-90.923
Moret,0.6,1.194,si,completa,493.451,-90.923
Moret,0.6,1.194,si,completa,492.849,-90.923
Moret,0.6,1.194,si,completa,492.247,-90.923
Moret,0.6,1.194,si,completa,491.645,-90.923
Moret,0.6,1.194,si,completa,491.043,-90.923
Moret,0.6,1.194,si,completa,490.441,-90.923
Moret,0.6,1.194,si,completa,489.839,-90.923
Moret,0.6,1.12,no,corte_largo,497.063,-90.9
Royal Walnut,0.214,1.12,no,corte_esquina,497.472,-90.9
Moret,0.6,1.11,no,corte_largo,496.461,-92.017
Moret,0.6,1.11,no,corte_largo,495.859,-92.017
Moret,0.252,1.188,no,corte_ancho,495.083,-92.116
Moret,0.6,1.188,si,completa,494.655,-92.116
Moret,0.6,1.188,si,completa,494.053,-92.116
Moret,0.6,1.05,no,corte_largo,493.451,-92.047
Moret,0.6,1.05,no,corte_largo,492.849,-92.047
Moret,0.6,1.05,no,corte_largo,492.247,-92.047
Moret,0.6,1.05,no,corte_largo,491.645,-92.047
Moret,0.6,1.05,no,corte_largo,491.043,-92.047
Moret,0.6,1.05,no,corte_largo,490.441,-92.047
