id,material,completa,tipo_corte,ancho_m,largo_m,x,y,cortar_de_baldosa
M-116,Moret,si,completa,0.600,1.194,506.31,-88.027,
M-117,Moret,no,corte_esquina,0.136,0.471,494.887,-88.17,M-59
M-118,Moret,no,corte_esquina,0.600,0.471,495.257,-88.17,M-74
M-119,Moret,no,corte_esquina,0.150,0.471,495.634,-88.17,M-59
M-120,Moret,no,corte_esquina,0.150,0.471,495.634,-88.17,M-59
M-121,Moret,no,corte_esquina,0.330,0.589,495.994,-88.229,M-65
M-122,Moret,no,corte_largo,0.598,0.589,496.46,-88.229,M-63
M-123,Moret,no,corte_largo,0.600,0.684,506.912,-88.282,M-61
M-124,Moret,no,corte_largo,0.600,0.684,507.514,-88.282,M-62
M-125,Moret,no,corte_esquina,0.498,1.150,500.023,-88.465,M-52
M-126,Moret,no,corte_largo,0.600,1.150,500.574,-88.465,M-03
M-127,Moret,no,corte_esquina,0.270,1.150,501.009,-88.465,M-69
M-128,Moret,no,corte_esquina,0.270,1.150,501.279,-88.465,M-69
M-129,Moret,no,corte_esquina,0.270,1.150,501.549,-88.465,M-70
M-130,Moret,no,corte_esquina,0.270,1.150,501.819,-88.465,M-70
M-131,Moret,no,corte_esquina,0.270,1.150,502.089,-88.465,M-71
M-132,Moret,no,corte_esquina,0.270,1.150,502.359,-88.465,M-71
M-133,Moret,no,corte_esquina,0.250,1.150,502.619,-88.465,M-73
M-134,Moret,no,corte_largo,0.600,1.150,503.044,-88.465,M-04
M-135,Moret,no,corte_largo,0.600,1.150,503.646,-88.465,M-05
M-136,Moret,si,completa,0.600,1.194,489.839,-88.531,
M-137,Moret,si,completa,0.600,1.194,490.441,-88.531,
M-138,Moret,si,completa,0.600,1.194,491.043,-88.531,
M-139,Moret,si,completa,0.600,1.194,491.645,-88.531,
M-140,Moret,si,completa,0.600,1.194,492.247,-88.531,
M-141,Moret,si,completa,0.600,1.194,492.849,-88.531,
M-142,Moret,si,completa,0.600,1.194,493.451,-88.531,
M-143,Moret,si,completa,0.600,1.194,494.053,-88.531,
M-144,Moret,no,corte_ancho,0.284,1.194,494.497,-88.531,M-64
M-145,Moret,no,corte_ancho,0.136,1.194,494.887,-89.122,M-55
M-146,Moret,si,completa,0.600,1.194,495.257,-89.122,
M-147,Moret,si,completa,0.600,1.194,495.859,-89.122,
M-148,Moret,si,completa,0.600,1.194,496.461,-89.122,
M-149,Moret,no,corte_largo,0.600,1.109,497.063,-89.165,M-34
M-150,Moret,no,corte_esquina,0.394,1.109,497.562,-89.165,M-55
M-151,Moret,no,corte_esquina,0.078,1.104,504.163,-89.178,M-52
M-152,Moret,no,corte_largo,0.600,1.104,504.504,-89.178,M-35
M-153,Moret,no,corte_largo,0.600,1.104,506.912,-89.178,M-36
M-154,Moret,no,corte_largo,0.600,1.104,507.514,-89.178,M-37
M-155,Moret,si,completa,0.600,1.194,505.106,-89.223,
M-156,Moret,si,completa,0.600,1.194,505.708,-89.223,
M-157,Moret,si,completa,0.600,1.194,506.31,-89.223,
M-158,Moret,si,completa,0.600,1.194,503.044,-89.639,
M-159,Moret,si,completa,0.598,1.194,503.645,-89.639,
M-160,Moret,si,completa,0.600,1.194,489.839,-89.727,
M-161,Moret,si,completa,0.600,1.194,490.441,-89.727,
M-162,Moret,si,completa,0.600,1.194,491.043,-89.727,
M-163,Moret,si,completa,0.600,1.194,491.645,-89.727,
M-164,Moret,si,completa,0.600,1.194,492.247,-89.727,
M-165,Moret,si,completa,0.600,1.194,492.849,-89.727,
M-166,Moret,si,completa,0.600,1.194,493.451,-89.727,
M-167,Moret,si,completa,0.600,1.194,494.053,-89.727,
M-168,Moret,no,corte_ancho,0.284,1.194,494.497,-89.727,M-64
M-169,Moret,no,corte_esquina,0.136,0.439,494.887,-89.941,M-59
M-170,Moret,no,corte_esquina,0.600,0.439,495.257,-89.941,M-75
M-171,Moret,no,corte_esquina,0.600,0.439,495.859,-89.941,M-76
M-172,Moret,no,corte_esquina,0.600,0.439,496.461,-89.941,M-77
M-173,Moret,no,corte_esquina,0.600,0.439,497.063,-89.941,M-78
M-174,Moret,no,corte_esquina,0.274,0.439,497.502,-89.941,M-58
M-175,Moret,no,corte_esquina,0.089,0.900,504.079,-90.36,M-56
M-176,Moret,no,corte_esquina,0.040,1.111,507.762,-90.466,M-66
M-177,Moret,si,completa,0.600,1.194,503.044,-90.835,
M-178,Moret,si,completa,0.598,1.194,503.645,-90.835,
M-179,Moret,no,corte_largo,0.600,1.120,495.859,-90.9,M-18
M-180,Moret,no,corte_esquina,0.238,1.120,496.28,-90.9,M-57
M-181,Moret,no,corte_largo,0.600,1.120,497.063,-90.9,M-19
M-182,Moret,si,completa,0.600,1.194,489.839,-90.923,
M-183,Moret,si,completa,0.600,1.194,490.441,-90.923,
M-184,Moret,si,completa,0.600,1.194,491.043,-90.923,
M-185,Moret,si,completa,0.600,1.194,491.645,-90.923,
M-186,Moret,si,completa,0.600,1.194,492.247,-90.923,
M-187,Moret,si,completa,0.600,1.194,492.849,-90.923,
M-188,Moret,si,completa,0.600,1.194,493.451,-90.923,
M-189,Moret,si,completa,0.600,1.194,494.053,-90.923,
M-190,Moret,si,completa,0.600,1.194,494.655,-90.923,
M-191,Moret,no,corte_largo,0.600,1.180,495.257,-90.93,M-01
M-192,Moret,no,corte_largo,0.600,1.096,503.044,-91.982,M-38
M-193,Moret,no,corte_largo,0.598,1.096,503.645,-91.982,M-39
M-194,Moret,no,corte_esquina,0.168,1.110,495.473,-92.017,M-54
M-195,Moret,no,corte_largo,0.600,1.110,495.859,-92.017,M-31
M-196,Moret,no,corte_largo,0.600,1.110,496.461,-92.017,M-32
M-197,Moret,no,corte_largo,0.600,1.110,497.063,-92.017,M-33
M-198,Moret,no,corte_largo,0.600,1.050,489.839,-92.047,M-44
M-199,Moret,no,corte_largo,0.600,1.050,490.441,-92.047,M-45
